WRFGRID_ID,Longitude,Latitude,
 662,-120.270, 47.34565,   12.608
 663,-120.284, 47.48500,  189.097
 664,-120.298, 47.62434,   42.504
 665,-120.311, 47.76366,    0.853
 666,-120.325, 47.90297,   12.471
 667,-120.339, 48.04228,    5.990
 668,-120.353, 48.18155,    2.058
 669,-120.367, 48.32082,    2.675
 670,-120.381, 48.46006,    0.513
 671,-120.395, 48.59930,    0.513
 672,-120.410, 48.73851,    0.513
 673,-120.424, 48.87769,    0.513
 674,-120.438, 49.01686,    0.513
 675,-120.453, 49.15600,      NaN
 676,-119.901, 45.54206,    0.852
 677,-119.913, 45.68151,    8.845
 678,-119.925, 45.82097,    8.856
 679,-119.938, 45.96042,    2.814
 680,-119.950, 46.09988,    1.674
 681,-119.963, 46.23932,   56.271
 682,-119.975, 46.37877,   37.881
 683,-119.988, 46.51820,   17.562
 684,-120.000, 46.65763,    6.768
 685,-120.013, 46.79705,    3.560
 686,-120.026, 46.93647,    3.784
 687,-120.039, 47.07587,    3.227
 688,-120.052, 47.21527,    2.303
 689,-120.065, 47.35465,    1.271
 690,-120.078, 47.49403,    1.225
 691,-120.091, 47.63339,    1.227
 692,-120.104, 47.77274,    5.999
 693,-120.117, 47.91208,   25.309
 694,-120.131, 48.05140,    6.220
 695,-120.144, 48.19070,    2.675
 696,-120.158, 48.32999,    2.675
 697,-120.171, 48.46925,    1.794
 698,-120.185, 48.60851,    0.513
 699,-120.198, 48.74774,    0.513
 700,-120.212, 48.88694,    0.513
 701,-120.226, 49.02615,    0.513
 702,-120.240, 49.16531,      NaN
 703,-119.702, 45.55043,    0.852
 704,-119.713, 45.68991,    8.662
 705,-119.725, 45.82939,    9.343
 706,-119.737, 45.96886,    0.584
 707,-119.749, 46.10833,    0.584
 708,-119.761, 46.24780,   74.952
 709,-119.773, 46.38726,    7.680
 710,-119.785, 46.52672,    0.535
 711,-119.797, 46.66617,    5.890
 712,-119.809, 46.80562,    7.628
 713,-119.822, 46.94505,    7.628
 714,-119.834, 47.08448,    3.638
 715,-119.846, 47.22390,   54.345
 716,-119.859, 47.36330,    4.766
 717,-119.871, 47.50270,    1.225
 718,-119.884, 47.64209,    1.225
 719,-119.897, 47.78146,    1.577
 720,-119.910, 47.92081,    5.848
 721,-119.922, 48.06015,    5.025
 722,-119.935, 48.19948,    9.401
 723,-119.948, 48.33879,    3.438
 724,-119.961, 48.47808,    2.668
 725,-119.974, 48.61736,    1.233
 726,-119.987, 48.75661,    0.590
 727,-120.001, 48.89584,    0.568
 728,-120.014, 49.03505,    0.513
 729,-120.027, 49.17425,      NaN
 730,-119.502, 45.55846,    0.852
